jersey,image,season,players,story,names
67. LIVERPOOL (home),https://a.espncdn.com/photo/2020/0526/r702251_864x1296_2-3.jpg,Seasons worn: 1989-91,"Notable players in this kit: John Barnes (pictured), Ian Rush, Peter Beardsley, Steve Nicol","The last time Liverpool were champions of England -- well, the last time before this season -- this was their kit. While it looks as though they were sponsored by the marketing board for sweet treats, Candy is actually an Italian manufacturer of domestic appliances.",Liverpool
68. MANCHESTER UNITED (home),https://a.espncdn.com/photo/2020/0521/r700888_864x1296_2-3.jpg,Seasons worn: 1994-96,"Notable players in this kit: Ryan Giggs (pictured), David Beckham, Eric Cantona, Paul Ince","United didn't have things all their own way in this uniform; they lost the 1994-95 Premier League title to Blackburn and Cantona was banned for eight months for kicking a fan, but at least that all played out in this Umbro classic. The oversized crest, the black, extremely flickable collar and the faint Old Trafford stencil really make this one work.",United
69. AJAX (away),https://a.espncdn.com/photo/2020/0526/r702249_864x1296_2-3.jpg,Seasons worn: 1994-95,"Notable players in this kit: Clarence Seedorf (pictured), Patrick Kluivert, Edgar Davids, Marc Overmars","Ajax won the Champions League in this gorgeous shirt, with its burgundy hatching on dark blue and its buttoned collar. They didn't lose a game in this shirt, as between 1994 and 1996 they completed an unbeaten run of 52 domestic and 19 Champions League matches. No other team has done that and lifted the Champions League and domestic title, before or since.",Ajax
70. MEXICO (home),https://a.espncdn.com/photo/2020/0526/r702245_864x1296_2-3.jpg,Seasons worn: World Cup 1998,"Notable players in this kit: Cuauhtemoc Blanco (pictured), Luis Hernandez","Made by Mexican manufacturer ABA Sport and made famous by the Blanco Bounce, this kit is as bold as it is wonderful. El Tri have been using stylish apparel suppliers for years: their 1978 kits were made by Levi's.",El Tri
71. BELGIUM (home),https://a.espncdn.com/photo/2020/0526/r702245_864x1296_2-3.jpg,Seasons worn: Euro 1984,"Notable players in this kit: Enzo Scifo (pictured), Leo Clijsters","This design shouldn't work; the white block behind the red-and-yellow argyle pattern, the central badge and the tiny Adidas logo where the crest should be. Yet what should be a messy jumble adds up to more than the sum of its parts and is now regarded as a classic. The same can't be said for the Belgium team of this era, who were thrashed 5-0 by a Michel Platini-inspired France.",Adidas
72. FLAMENGO (home),https://a.espncdn.com/photo/2020/0611/r707384_864x1296_2-3.jpg,Seasons worn: 1977-81,"Notable players in this kit: Zico (pictured), Junior, Leandro, Tita","Flamengo wore this red-and-black hooped shirt for one of the most successful periods in their history as they dominated the Campeonato Carioca and won the Brazilian Championship, the Copa Libertadores and Intercontinental Cup for the first time.",the Campeonato Carioca
73. MANCHESTER CITY (away),https://a.espncdn.com/photo/2020/0526/r702242_864x1296_2-3.jpg,Seasons worn: 1969,"Notable players in this kit: Tony Book (pictured), Mike Summerbee, Colin Bell, Neil Young","City's red-and-black stripes are almost as synonymous among their fans as their sky-blue home kit, so much so that it has been brought back several times, including for the 2019 FA Cup final where City wore warm-up shirts inspired by this kit, with names from that 1969 FA Cup-winning team on their back.",
74. BOHEMIANS (away),https://a.espncdn.com/photo/2020/0526/r702240_864x1296_2-3.jpg,Seasons worn: 2018,"Notable players in this kit: Keith Ward (pictured), Dinny Corcoran","We stay in Ireland for this beauty of a sash kit from a club not afraid of doing things differently. Bohemians are a fan-run club who, in 2020, released an away kit with the slogans ""Refugees Welcome"" and ""Love Football, Hate Racism."" In 2019 their away kit had Bob Marley's face on it to celebrate an iconic gig he played at their Dalymount ground in 1980. It was later withdrawn at the request of his family and redesigned with an image of a clenched fist.",Bob Marley's
75. REPUBLIC OF IRELAND (home),https://a.espncdn.com/photo/2020/0526/r702238_864x1296_2-3.jpg,Seasons worn: 1990-92,"Notable players in this kit: Niall Quinn (pictured), Paul McGrath, Ray Houghton","The late '80s and early '90s were a great time to be an Ireland fan thanks to consecutive World Cup knockout appearances and memorable wins over Italy and England, and the kits were just as good. This kit, worn at Italia '90, is as beautiful as the Emerald Isle itself.",Italia
76. FRANCE WOMEN (away),https://a.espncdn.com/photo/2020/0528/r703112_864x1296_2-3.jpg,Seasons worn: World Cup 2019,"Notable players in this kit: Amandine Henry (pictured), Wendie Renard","The 2019 Women's World Cup was an ultimately disappointing one for France as they went out to eventual winners the USWNT in the quarterfinals, but their highlight came beating Brazil in the round of 16 wearing this Nike away kit. White with what looks like navy blue dots -- a nod to a look of classic bygone French fashion, according to the kit manufacturer -- on closer inspection the dots were tiny hexagons, referencing the country's nickname ""L'Hexagone.""",USWNT
77. ROMA (home),https://a.espncdn.com/photo/2020/0521/r700884_864x1296_2-3.jpg,Seasons worn: 2000-01,"Notable players in this kit: Francesco Totti (pictured), Cafu, Gabriel Batistuta","When you look at this kit you instantly see Totti -- hair in a band, No. 10 on his back, strutting like a Roman deity. This was Kappa's first Roma shirt, and they brought with them the club's first Scudetto in 15 years.",Roma
78. CHELSEA (home),https://a.espncdn.com/photo/2020/0521/r700884_864x1296_2-3.jpg,Seasons worn: 2012-13,"Notable players in this kit: Frank Lampard (pictured), John Terry, Didier Drogba","Chelsea's home kit for the 2012-13 season was a classic Adidas design but with gold highlights, a bit like Fernando Torres' hair. The gold was added not to celebrate their recent Champions League victory, but the London 2012 Olympics.",Chelsea
79. DULWICH HAMLET (home),https://a.espncdn.com/photo/2020/0526/r702232_864x1296_2-3.jpg,Seasons worn: 2019-20,"Notable players in this kit: Dominic Vose (pictured), Lionel Ainsworth, Quade Taylor","Dulwich Hamlet enjoy remarkable support for an English non-league side. The club, based in an affluent south London suburb, even claim to have registered the biggest-ever attendance (16,254) for a match outside of the professional ranks. Plus they are probably the only team bold enough to pull off a purple-and-pink sash.",Hamlet
80. MANCHESTER CITY (home),https://a.espncdn.com/photo/2020/0528/r703123_864x1296_2-3.jpg,Seasons worn: 1993-95,"Notable players in this kit: Keith Curle (pictured), Uwe Rosler, Niall Quinn","Worn by famous fan Noel Gallagher before Oasis' iconic gig at the club's old Maine Road ground in 1996, and it's one of City's best. A bit like Oasis' music, it seems a bit bland on the surface, but look a little deeper and you can see so much more, including a pseudo-holographic pattern of the manufacturer's logo that is typical of the period.",Noel Gallagher
81. BORUSSIA DORTMUND (third),https://a.espncdn.com/photo/2020/0526/r702229_864x1296_2-3.jpg,Seasons worn: 2019-20,"Notable players in this kit: Jadon Sancho (pictured), Marco Reus, Julian Brandt","Worn just once, to commemorate Dortmund's 110th anniversary, this sleek strip sold out in just three hours. BVB smashed Fortuna Dusseldorf 5-0, giving them a 100% record in all black. Sancho was definitely a fan: ""The black shirts are the best I've ever worn. Maybe we should keep playing with them.""",Dortmund's
82. LEEDS UNITED (away),https://a.espncdn.com/photo/2020/0526/r702227_864x1296_2-3.jpg,Seasons worn: 2000-02,"Notable players in this kit: Harry Kewell (pictured), Mark Viduka, Rio Ferdinand","It feels like just yesterday that Leeds were in the Champions League semifinals, but it was actually 20 years ago. Nike kept Leeds' uniforms straightforward in this period, with this yellow away strip featuring one blue pinstripe running from each shoulder to the waist.",Leeds
83. ROMANIA (away),https://a.espncdn.com/photo/2020/0526/r702225_864x1296_2-3.jpg,Seasons worn: World Cup 1994,"Notable players in this kit: Gheorghe Hagi (pictured), Gheorghe Popescu, Dan Petrescu","Those three stripes emerging from the hips, the matching collar, those boxy numbers ... my word, this kit is just so beautiful and so '90s. This was a special design that was only worn during the World Cup finals, and it worked as Romania made it all the way to the quarterfinals in their best showing at the tournament.",
84. UNITED STATES WOMEN (home),https://a.espncdn.com/photo/2020/0528/r703106_709x1064_2-3.jpg,Seasons worn: World Cup 2019,"Notable players in this kit: Megan Rapinoe (pictured), Alex Morgan, Carli Lloyd, Julie Ertz",The United States' thrilling victory at the Women's World Cup in 1999 was echoed 20 years later in this Nike kit that the USWNT wore as they cruised to their fourth world title in France. It had that striped sleeve cuff in red and blue and three stars down the shorts to signify their three previous global triumphs. The likes of Rapinoe and Morgan did the Class of '99 proud.,the Women's World Cup
85. BARCELONA (home),https://a.espncdn.com/photo/2020/0525/r701998_864x1296_2-3.jpg,Seasons worn: 2010-11,"Notable players in this kit: Lionel Messi (pictured), Xavi, Andres Iniesta, Gerard Pique, David Villa","The first Barcelona kit to feature yellow trim, as Nike announced at the time, in a nod to the yellow-and-red stripes of the Senyera, the Catalan flag. This kit brought untold success as Messi & Co. secured a domestic Treble as well as the Champions League. This was the last Barcelona kit to bear the logo of global charity UNICEF, to which the club donated €1.5 million a season, on the front.",Nike
86. PALERMO (third),https://a.espncdn.com/photo/2020/0525/r701998_864x1296_2-3.jpg,Seasons worn: 2012-13,"Notable players in this kit: Paulo Dybala (pictured), Josip Ilicic, Abel Hernandez","You can't go wrong with a sash. Palermo's official website claimed this kit had a ""future-classic"" look, although their immediate future was anything but classic; they were relegated at the end of the season. Still, they looked nice doing it.",
87. FIORENTINA (home),https://a.espncdn.com/photo/2020/0521/r700912_864x1296_2-3.jpg,Seasons worn: 1998-99,"Notable players in this kit: Gabriel Batistuta (pictured), Rui Costa, Eduardo","This late-90s kit was sponsored by Nintendo, and the white blocks on the shoulders and down the sides have more than a shade of games console aesthetic about them. It takes real confidence to wear purple, and La Viola have always been able to pull it off.",Nintendo
88. AC MILAN (away),https://a.espncdn.com/photo/2020/0525/r701995_864x1296_2-3.jpg,Seasons worn: 1988-90,"Notable players in this kit: Marco van Basten (pictured), Ruud Gullit, Frank Rijkaard","Any Milan kit of this period, when Italy's Serie A was the envy of the world, would be a worthy entry but this away kit gets the nod for its simplicity and its understated sponsor text and logos. Milan retained the European Cup in it, playing the best football in the world and with some of the best players ever seen.",Serie A
89. MEXICO (away),https://a.espncdn.com/photo/2020/0525/r701994_864x1296_2-3.jpg,Seasons worn: World Cup 2010,"Notable players in this kit: Rafael Marquez (pictured), Giovani dos Santos, Carlos Vela","This was the first time in their history that Mexico had gone with an away kit that wasn't white or burgundy. However, according to its designer Brad Day, that didn't stop it being Adidas' fourth-best-selling shirt that year -- behind only those of Germany, Spain and Argentina.",Brad Day
90. MARGATE (third),https://a.espncdn.com/photo/2020/0525/r701993_3_531x796_2-3.jpg,Seasons worn: 2019-20,Notable players in this kit: Nobody you've heard of,"Designed by local Kent-based pop artist Luke McLean, this kit has a lot going for it. The distorted purple-and-turquoise diagonal stripes have the names of supporters printed on them in tiny font, and yes, the jersey really is sponsored by rock band The Libertines. Time for heroes to wear it.",Kent
91. BELGIUM (away),https://a.espncdn.com/photo/2020/0525/r701990_864x1296_2-3.jpg,Seasons worn: Euro 2016,"Notable players in this kit: Eden Hazard (pictured), Kevin De Bruyne, Romelu Lukaku","Fans and neutrals loved this kit ahead of the tournament in France, but their manager, Marc Wilmots, not so much. He likened the design to that of a cycling jersey. His team's own Tour de France ended in defeat to Wales in the quarterfinals. Also, for a reason which no one is able to explain, the numbers on the shorts were absolutely massive.",Marc Wilmots
92. ITALY (away),https://a.espncdn.com/photo/2020/0525/r701990_864x1296_2-3.jpg,Seasons worn: 1999,"Notable players in this kit: Paolo Maldini (pictured), Alessandro Del Piero, Enrico Chiesa","Much like Maldini, Kappa's first Italy kits were superb in their simplicity, yet stunningly beautiful at the same time. The blue stripe across the white chest was a nod to their past, with white being the first colour the team wore in 1910.",Maldini
93. INTER MILAN (home),https://a.espncdn.com/photo/2020/0525/r701986_864x1296_2-3.jpg,Seasons worn: 2005-06,"Notable players in this kit: Adriano (pictured), Javier Zanetti, Luis Figo","You could pick out almost any of Inter's iconic Nerazzurri home strips, but this one was so good they won the domestic Treble of Serie A, Coppa Italia and Supercoppa Italiana in it.",Inter
94. WOLVERHAMPTON WANDERERS (home),https://a.espncdn.com/photo/2020/0608/r706359_864x1296_2-3.jpg,Seasons worn: 1977-79,"Notable players in this kit: George Berry (pictured), John Richards","No club does gold kits like Wolves, especially their mid-to-late 1970s shirts, with the big black collar and three wolves down the middle of the chest. They won the 1974 League Cup in a version of this, but Umbro added black logos down the sleeves to really set it off.",Umbro
95. CHELSEA (away),https://a.espncdn.com/photo/2020/0525/r701983_864x1296_2-3.jpg,Seasons worn: 1997-98,"Notable players in this kit: Gianfranco Zola (pictured), Ruud Gullit, Gianluca Vialli","This kit shouldn't really work given its clashing elements and garish design, but somehow it does. Like the Chelsea team at the time it was a bit of a mess (player-manager Gullit was sacked midway through the season) but also a success (they won the League Cup and Cup Winners' Cup). That's so Chelsea.",Chelsea
96. PUMAS UNAM (home),https://a.espncdn.com/photo/2020/0525/r701981_864x1296_2-3.jpg,Seasons worn: 2016-17,"Notable players in this kit: Jesus Gallardo (pictured), Nicolas Castillo","Not a season to remember (sixth in Apertura, 17th in Clausura) but Pumas' home shirt -- inspired by the mural at the library of the National Autonomous University of Mexico, where the team was founded in the 1950s -- makes this a kit steeped in heritage.",Pumas
97. BASTIA (home),https://a.espncdn.com/photo/2020/0525/r701979_864x1296_2-3.jpg,Seasons worn: 1977-78,Notable players in this kit: Johnny Rep,"After pulling a transfer coup signing Netherlands winger Johnny Rep, who was as talented as his name was awesome, the former Ajax and Valencia star helped Corsican club Bastia make a surprise appearance in the 1978 UEFA Cup final. They lost to PSV Eindhoven, but their crest was now recognised across Europe thanks to it being worn proudly across the players' chests.",Johnny Rep
98. REAL MADRID (away),https://a.espncdn.com/photo/2020/0525/r701969_864x1296_2-3.jpg,Seasons worn: 2011-12,"Notable players in this kit: Cristiano Ronaldo (pictured), Sergio Ramos, Karim Benzema, Mesut Ozil","Any kit with gold is going to catch our eye. Real always seem to produce good away kits, but this sleek black effort with those iconic three Adidas stripes in gold is among the best. The club's monogram on the socks is a nice touch, too.",
99. VALENCIA (home),https://a.espncdn.com/photo/2020/0525/r701969_864x1296_2-3.jpg,Seasons worn: 1999-2000,"Notable players in this kit: Gaizka Mendieta (pictured), Claudio Lopez, Miguel Angel Angulo","Mendieta ran the Valencia midfield in this white shirt with orange-and-black trim, sponsored by a theme park that had just opened in the region. Mendieta now brings the same flair to the dance floor as a club DJ.",
100. MANCHESTER UNITED (away),https://a.espncdn.com/photo/2020/0531/r703918_864x1296_2-3.jpg,Seasons worn: 1993-95,"Notable players in this kit: Eric Cantona (pictured), Ryan Giggs, Roy Keane, Paul Scholes","Manchester United signalled their status as the Premier League's most fearsome team by wearing this black away kit with yellow trim. The uniform certainly had an effect on Cantona -- all three of his Premier League red cards for United came while he was wearing it, most infamously when he was sent off at Crystal Palace in 1995 and delivered a flying kick to a supporter as he was leaving the field, earning him an eight-month ban. Here he is pictured after receiving a red card at Swindon, strutting toward the locker room with his collar flicked up in his trademark style.",Manchester United
101. SENEGAL (home),https://a.espncdn.com/photo/2020/0528/r703100_864x1296_2-3.jpg,Seasons worn: African Nations Cup 2017,"Notable players in this kit: Sadio Mane (pictured), Kalidou Koulibaly, Keita Balde","UAE-based kit manufacturer Romai only made one set of kits for Senegal in their short-lived deal, but this 2017 jersey, with its roaring lion on the shoulder, is a beauty. The lion is a nod to the team's nickname ""Les Lions de la Teranga,"" Teranga being a word used in Senegal that means hospitality, warmth and selflessness. Mane & Co. went out in the quarterfinals to Cameroon.",UAE
